"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSG00000134326",550.615946355612,3.929744852953,0.459326349299141,8.55545269490671,1.17407067443807e-17,9.11719245549996e-15
"ENSG00000119283",7000.36195186186,-0.730774223500329,0.0866688954945637,-8.43179342866054,3.40407490505834e-17,2.52848763817464e-14
"ENSG00000183486",106.312694780307,3.23709166296579,0.386067883696973,8.38477324756337,5.0823630342087e-17,3.61779541985089e-14
"ENSG00000126709",17644.05085477,4.54408672359175,0.554117786219182,8.20057907651124,2.3923181057303e-16,1.63481450073186e-13
"ENSG00000205413",1212.36112355651,6.15148240570467,0.755201788158243,8.14548178005069,3.77774725885224e-16,2.48227054500891e-13
"ENSG00000269720",47.5967808800907,4.78101649298891,0.588403516238063,8.12540435440659,4.4587346949987e-16,2.82122309367992e-13
"ENSG00000119917",2247.85345063039,6.29104346517476,0.787917646928313,7.98439213755436,1.41216439046335e-15,8.61622015952708e-13
"ENSG00000178685",758.965297836768,3.0906793955453,0.389483368441183,7.93533086641163,2.09934902740758e-15,1.23673375118038e-12
"ENSG00000160932",1354.56394554698,1.31785643690753,0.166840205999001,7.89891398788743,2.81343934226519e-15,1.60215992410862e-12
"ENSG00000137959",6193.73893075014,2.15079692455437,0.272763788514207,7.88519963104392,3.14033079089271e-15,1.73062616876165e-12
"ENSG00000137628",998.600201500879,3.48733041239784,0.443505733374562,7.86310108296306,3.74738369747258e-15,2.00063447148817e-12
"ENSG00000134321",305.040403931936,4.53389921383711,0.578779500571581,7.83355182648935,4.74277215861892e-15,2.45531877448017e-12
"ENSG00000132274",876.927823721958,2.34241925681442,0.301508855453268,7.76898991339072,7.91144671869773e-15,3.97526928653624e-12
"ENSG00000130303",1531.90080731032,3.154071967453,0.406649034235758,7.7562509729813,8.74768290853142e-15,4.26986899455288e-12
"ENSG00000140464",1989.85733026273,0.973883459577728,0.126075728015312,7.724591203308,1.12212874107297e-14,5.32512428124741e-12
"ENSG00000107201",1932.50094023859,3.6718683606621,0.479327033728836,7.6604658245488,1.8525988502171e-14,8.32889440976549e-12
"ENSG00000188313",742.394160243596,3.48330867361127,0.454551527819954,7.66317669267848,1.81389519501634e-14,8.32889440976549e-12
"ENSG00000119922",754.339938748208,5.13569215333473,0.672674884603302,7.63473153358984,2.26291471017065e-14,9.91272689962958e-12
"ENSG00000160710",19619.3903107662,0.870464795177471,0.114252674778884,7.61876951119177,2.56105295762143e-14,1.09382571820011e-11
"ENSG00000163840",844.96977336373,3.34442162525557,0.441251972972115,7.57939188969228,3.47178358510859e-14,1.44663294556086e-11
"ENSG00000177409",159.528992980233,5.25380171597881,0.716818102971198,7.32933737889974,2.31293449138089e-13,9.40813639303597e-11
"ENSG00000138496",1047.44824298592,3.21303217114477,0.442225350460545,7.26559924210277,3.71388145368645e-13,1.47553373848324e-10
"ENSG00000137965",2304.81196026122,2.78725087496143,0.384348394822801,7.25188634193843,4.11006728047651e-13,1.59582703226502e-10
"ENSG00000168062",37.677410077678,4.31058096627598,0.595215851234681,7.24204665808944,4.41963737242566e-13,1.67789077490045e-10
"ENSG00000149948",3760.06650730099,-0.54317221450479,0.0751711483608653,-7.22580705960812,4.9813455923934e-13,1.85002843696628e-10
"ENSG00000128335",641.056895551086,1.17914176134385,0.166193329086592,7.09500055041005,1.29350970728091e-12,4.70177017855043e-10
"ENSG00000221963",294.131273700407,4.84306142565338,0.689017738299247,7.02893576819643,2.08114748953252e-12,7.40715077316115e-10
"ENSG00000121060",1969.31313129579,2.00998649422754,0.287460843633812,6.99220968260986,2.70590048499617e-12,9.43420487462745e-10
"ENSG00000170581",3295.36788283038,0.897484739729503,0.129220182736611,6.94539135236204,3.77412593781442e-12,1.28954335043243e-09
"ENSG00000138646",767.708707626777,3.53482333387413,0.509279273330506,6.94083486013014,3.89789456057056e-12,1.30571824848603e-09
"ENSG00000206341",132.564007067952,2.31371725134485,0.335425232952695,6.89786284406084,5.27906765909586e-12,1.7343767670768e-09
"ENSG00000271503",194.378868585464,6.90422369732738,1.00312520035272,6.88271383761439,5.87229183834445e-12,1.89287233521277e-09
"ENSG00000138642",831.155412106054,3.55650687541914,0.517166026109217,6.8769151411119,6.11625180049191e-12,1.93500084740007e-09
"ENSG00000060491",3018.65853161549,0.760146397619465,0.111959168996052,6.78949660341145,1.12525480395183e-11,3.49524601285693e-09
"ENSG00000108771",261.553787585356,3.77331176509212,0.561913793172936,6.71510792391394,1.8792707585532e-11,5.73311814984337e-09
"ENSG00000147655",1775.14970894357,-0.685707073442967,0.102709343146206,-6.6761898425041,2.4523425987127e-11,7.35014402743995e-09
"ENSG00000105939",1486.17230607579,2.3179000827542,0.348132284606549,6.65810148970768,2.7738721710656e-11,8.17048830525597e-09
"ENSG00000138035",1429.86248011376,1.05664968322478,0.158822382098097,6.65302754728954,2.87124426862493e-11,8.31395543816751e-09
"ENSG00000161133",39.1856715425441,3.2959906231079,0.49595902660446,6.64569137026017,3.01797055223968e-11,8.59316815241044e-09
"ENSG00000140853",1032.31882245133,4.21260376916069,0.636692352333331,6.61638820338027,3.68081000653218e-11,1.0185664870598e-08
"ENSG00000173821",5053.10157876523,0.885226593027017,0.133805753881495,6.61575879473029,3.69650680155161e-11,1.0185664870598e-08
"ENSG00000055332",9363.79760021628,1.89658596951084,0.28760865719129,6.5943285158117,4.2718485382762e-11,1.12277323735247e-08
"ENSG00000090339",83.2344444289431,2.67296795030231,0.405074636962771,6.5987047975753,4.14765240370927e-11,1.12277323735247e-08
"ENSG00000204267",915.32025505906,2.82283205117504,0.428036902432875,6.59483337798829,4.2573372567339e-11,1.12277323735247e-08
"ENSG00000173376",657.578567008243,-0.921648083838306,0.140158071355921,-6.57577601433918,4.84000684889161e-11,1.25282843949188e-08
"ENSG00000002549",1090.22304591897,0.894790523741141,0.137048064876701,6.52902705737702,6.6198292942345e-11,1.66313475974562e-08
"ENSG00000230795",63.6564016466884,3.19108589221644,0.48869385984452,6.52982604125966,6.58461240621298e-11,1.66313475974562e-08
"ENSG00000164054",7550.58894082369,0.703453112271164,0.108756708634891,6.46813535551853,9.92196054805560e-11,2.45661991308669e-08
"ENSG00000172216",356.067568401496,1.27691030405554,0.198030775209617,6.44803971859385,1.13306075078189e-10,2.76531569519398e-08
"ENSG00000135114",154.401089759935,6.62481561274085,1.03922741470472,6.37475062628444,1.83260896877523e-10,4.40961853838817e-08
"ENSG00000135899",341.679496152756,3.20083266324565,0.502532531255944,6.36940389758656,1.89764278275447e-10,4.50268462508018e-08
"ENSG00000051108",1194.91364049622,0.818167899037514,0.129084339393676,6.33824291064697,2.32400227117234e-10,5.42323027132997e-08
